id;direccion;lat;lon;tipologia;soterrado;num;posicion;capacidad;estado
1;Calle Filiberto Rodrigo, esquina con calle Santander;39,40677254;-0,403284088;RSU;SOT;1;Der;3000L;En ejecución
2;Calle Filiberto Rodrigo, esquina con calle Torero Carpio;39,40670354;-0,402987808;RSU;SOT;1;Der;3000L;En ejecución
3;Calle Filiberto Rodrigo, esquina con Ramón y Cajal;39,40655083;-0,402344327;RSU;SOT;1;Der;3000L;En ejecución
4;Calle Crecensi Chapa esquina Con Torero Carpio;39,40561125;-0,403295783;RSU;SOT;1;lzq;3000L;En ejecución
5;Calle Cuenca con PL región;39,40496709;-0,407269928;RSU;SOT;1;lzq;3000L;En ejecución
6;Calle Joan Giner esquina con Rambleta;39,40744571;-0,405949103;RSU;SOT;1;lzq;3000L;En ejecución
7;Calle Almeria esquina con Rambleta;39,40627419;-0,405748672;RSU;SOT;1;Der;3000L;En ejecución
8;Calle Torero Carpio n20;39,40770165;-0,402505877;RSU;SOT;1;lzq;3000L;En ejecución
9;Calle Francesc de Vinatea esquina con torero carpio;39,40831451;-0,40207961;RSU;SOT;1;Der;3000L;En ejecución
10;40 Av Blasco Ibáñez;39,40989172;-0,40370321;RSU;SOT;1;Der;3000L;Finalizado
11;13 Av Blasco Ibáñez;39,40880734;-0,403262806;RSU;SOT;1;Der;3000L;En ejecución
12;Calle Cristofol Aguado esquina con Av Blasco Ibáñez;39,40814187;-0,40310192;RSU;SOT;1;Der;3000L;En ejecución
13;6 C. de Asturias;39,40787199;-0,404375491;RSU;SOT;1;Der;3000L;En ejecución
14;3 C. de Asturias;39,40693401;-0,404653635;RSU;SOT;1;lzq;3000L;En ejecución
15;Cristofol Aguado con Rambleta;39,40860978;-0,405062984;RSU;SOT;1;Der;3000L;Finalizado
16;Av Rambleta 73;39,40949273;-0,405022502;RSU;SOT;1;Der;3000L;Finalizado
17;Av Rambleta con Amalio Monforte;39,40794088;-0,405798585;RSU;SOT;1;lzq;3000L;En ejecución
18;Francesc Larrode con Sant Vicente Ferrer;39,40881715;-0,406685156;RSU;SOT;1;lzq;3000L;Finalizado
19;Francesc Larrode con Clara Campoamor;39,40893538;-0,407407151;RSU;SOT;1;lzq;3000L;Finalizado
20;Av Generalitat;39,40991196;-0,405946525;RSU;SOT;1;Der;3000L;Finalizado
21;Av Rambleta 75;39,41024997;-0,404813882;RSU;SOT;1;Der;3000L;Finalizado
22;Príncipe de Asturias con San Vicente;39,41109301;-0,405646386;RSU;SOT;1;Der;3000L;En ejecución
23;Sant Vicente con Av Generalitat;39,41032279;-0,406118157;RSU;SOT;1;Der;3000L;Finalizado
24;Parque 8 de marzo;39,41146883;-0,407087371;RSU;SOT;1;Der;3000L;En ejecución
25;Francesc Ferrer Pastor, esquina con Rambleta;39,40662257;-0,406072181;RSU;SOT;1;lzq;3000L;En ejecución
26;21 Av. Rei Jaume I;39,40744614;-0,409638113;RSU;SOT;1;Der;3000L;Finalizado
27;Calle Joan Giner, esquina con Av Jaime I;39,40794651;-0,409006349;RSU;SOT;1;lzq;3000L;Finalizado
28;Calle Milagros Mir, esquina con Joan Giner;39,40747821;-0,407999189;RSU;SOT;1;lzq;3000L;En ejecución
29;Calle Milagros Mir, esquina con Francesc Ferrer Pastor;39,40679502;-0,408175388;RSU;SOT;1;lzq;3000L;En ejecución
30;24 Av. Rei Jaume I;39,40647518;-0,410228156;RSU;SOT;1;Der;3000L;Finalizado
31;14 Av. Rei Jaume I;39,40530303;-0,410944473;RSU;SOT;1;Der;3000L;Finalizado
32;1 Av. Rei Jaume I;39,40405722;-0,411699247;RSU;SOT;1;Der;3000L;Finalizado
33;10 Av. Rei Jaume I;39,40483433;-0,411230562;RSU;SOT;1;Der;3000L;Finalizado
34;Carrer Chirivella Lucas, esquina con Joaquín Escriba;39,4046171;-0,408998272;RSU;SOT;1;lzq;3000L;Finalizado
35;Calle Joaquín Escriba, esquina con Av Diputación;39,40345457;-0,409132598;RSU;SOT;1;Der;3000L;Finalizado
36;22 Carrer Josep Serra Carsí;39,40385502;-0,409761065;RSU;SOT;1;Der;3000L;Finalizado
37;Calle Victoria Costa Mayo, esquina con Josep Serra Carsí;39,40515664;-0,409261796;RSU;SOT;1;Der;3000L;Finalizado
38;Plaza Iturbi;39,40367055;-0,407803839;RSU;SOT;2;Der;6000L;En ejecución
39;Calle Mestre Monforte, esquina Av Diputación;39,40331615;-0,408409496;RSU;SOT;1;lzq;3000L;Finalizado
40;Av Murcia, esquina con Alicante;39,40600211;-0,406712564;RSU;SOT;1;Der;3000L;En ejecución
41;Av Murcia, esquina con Monforte;39,40622183;-0,40751897;RSU;SOT;1;Der;3000L;En ejecución
42;Plaza Región con Azorín;39,4043325;-0,407519254;RSU;SOT;2;lzq;6000L;En ejecución
43;Gómez Ferrer 31;39,40403062;-0,401129849;RSU;SOT;1;Der;3000L;En ejecución
44;Gómez Ferrer 2;39,40415751;-0,402446226;RSU;SOT;1;lzq;3000L;En ejecución
45;Plaza del Port;39,40102849;-0,401144145;RSU;SOT;1;Der;3000L;En ejecución
46;Calle Charco 8;39,40503955;-0,399962285;RSU;SOT;1;Der;3000L;Finalizado
47;Dr Marañón 4;39,40560361;-0,400887855;RSU;SOT;1;lzq;3000L;Finalizado
48;Plaza Furs 11;39,40525631;-0,399099639;RSU;SOT;1;lzq;3000L;Finalizado
49;Plaza Furs 3;39,40484078;-0,398528329;RSU;SOT;1;lzq;3000L;Finalizado
50;Ronda de L'Estación 1;39,4040861;-0,397597827;RSU;SOT;1;Der;3000L;Finalizado
51;Herrero Penella 2;39,40430277;-0,399922116;RSU;SOT;1;lzq;3000L;Finalizado
52;Ronda de L'Estación 5;39,40335035;-0,397778372;RSU;SOT;2;Der;6000L;Finalizado
53;Cortes Valencianas 18;39,40295629;-0,398966545;RSU;SOT;1;lzq;3000L;En ejecución
54;Ronde de L'Estación con Alquería;39,40141631;-0,398749307;RSU;SOT;1;Der;3000L;Finalizado
55;Casalet con Barcelona;39,39881234;-0,399713345;RSU;SOT;1;Der;3000L;En ejecución
56;Ronda de L'Estació 100;39,39770832;-0,400171472;RSU;SOT;1;Der;3000L;En ejecución
57;Pelayo con Musico Gimeno;39,39706126;-0,402937002;RSU;SOT;1;lzq;3000L;Finalizado
58;Rambleta 1;39,4018101;-0,406977628;RSU;SOT;1;lzq;3000L;Finalizado
59;Diputación con CV400;39,4041318;-0,413648044;RSU;SOT;1;Der;3000L;En ejecución
60;Villa Carmen;39,40352792;-0,415742322;RSU;SOT;2;Der;6000L;Finalizado
61;Diputación con Rambleta;39,40282513;-0,406957935;RSU;SOT;1;Der;3000L;En ejecución
